,0
0,2008-12-31
1,2009-01-23
2,2009-02-27
3,2009-03-31
4,2009-04-30
5,2009-05-27
6,2009-06-30
7,2009-07-31
8,2009-08-31
9,2009-09-30
10,2009-10-30
11,2009-11-30
12,2009-12-31
13,2010-01-29
14,2010-02-26
15,2010-03-31
16,2010-04-30
17,2010-05-31
18,2010-06-30
19,2010-07-30
20,2010-08-31
21,2010-09-30
22,2010-10-29
23,2010-11-30
24,2010-12-31
25,2011-01-31
26,2011-02-28
27,2011-03-31
28,2011-04-29
29,2011-05-31
30,2011-06-30
31,2011-07-29
32,2011-08-31
33,2011-09-30
34,2011-10-31
35,2011-11-30
36,2011-12-30
37,2012-01-31
38,2012-02-29
39,2012-03-30
40,2012-04-27
41,2012-05-31
42,2012-06-29
43,2012-07-31
44,2012-08-31
45,2012-09-28
46,2012-10-31
47,2012-11-30
48,2012-12-31
49,2013-01-31
50,2013-02-28
51,2013-03-29
52,2013-04-26
53,2013-05-31
54,2013-06-28
55,2013-07-31
56,2013-08-30
57,2013-09-30
58,2013-10-31
59,2013-11-29
60,2013-12-31
61,2014-01-30
62,2014-02-28
63,2014-03-31
64,2014-04-30
65,2014-05-30
66,2014-06-30
67,2014-07-31
68,2014-08-29
69,2014-09-30
70,2014-10-31
71,2014-11-28
72,2014-12-31
73,2015-01-30
74,2015-02-27
75,2015-03-31
76,2015-04-30
77,2015-05-29
78,2015-06-30
79,2015-07-31
80,2015-08-31
81,2015-09-30
82,2015-10-30
83,2015-11-30
84,2015-12-31
85,2016-01-29
86,2016-02-29
87,2016-03-31
88,2016-04-29
89,2016-05-31
90,2016-06-30
91,2016-07-29
92,2016-08-31
93,2016-09-30
94,2016-10-31
95,2016-11-30
96,2016-12-30
97,2017-01-26
98,2017-02-28
99,2017-03-31
100,2017-04-28
101,2017-05-31
102,2017-06-30
103,2017-07-31
104,2017-08-31
105,2017-09-29
106,2017-10-31
107,2017-11-30
108,2017-12-29
109,2018-01-31
110,2018-02-28
111,2018-03-30
112,2018-04-27
113,2018-05-31
114,2018-06-29
115,2018-07-31
116,2018-08-31
117,2018-09-28
118,2018-10-31
119,2018-11-30
120,2018-12-28
121,2019-01-31
122,2019-02-28
123,2019-03-29
124,2019-04-30
125,2019-05-31
126,2019-06-28
127,2019-07-31
128,2019-08-30
129,2019-09-30
130,2019-10-31
131,2019-11-29
132,2019-12-31
133,2020-01-23
134,2020-02-28
135,2020-03-31
136,2020-04-30
137,2020-05-29
138,2020-06-30
139,2020-07-31
140,2020-08-31
141,2020-09-30
142,2020-10-30
143,2020-11-30
144,2020-12-31
145,2021-01-29
146,2021-02-26
147,2021-03-31
